state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
12,Hawaii,119,"Sumter County, Florida",108501,50.8852453,55211,HI
12,Hawaii,15,"Charlotte County, Florida",165783,36.85540737,61100,HI
8,Delaware,79,"Mineral County, Colorado",733,36.56207367,268,DE
31,New Jersey,91,"Hooker County, Nebraska",681,35.82966226,244,NJ
4,Arkansas,12,"La Paz County, Arizona",20335,35.17088763,7152,AR
12,Hawaii,17,"Citrus County, Florida",139654,34.43438784,48089,HI
41,South Carolina,69,"Wheeler County, Oregon",1348,34.34718101,463,SC
51,Wyoming,91,"Highland County, Virginia",2244,34.00178253,763,WY
48,Washington,385,"Real County, Texas",3356,33.96901073,1140,WA
35,North Dakota,51,"Sierra County, New Mexico",11615,33.9474817,3943,ND
26,Missouri,1,"Alcona County, Michigan",10550,33.93364929,3580,MO
51,Wyoming,103,"Lancaster County, Virginia",11129,33.91140264,3774,WY
48,Washington,299,"Llano County, Texas",19323,33.63349376,6499,WA
12,Hawaii,55,"Highlands County, Florida",98328,33.35062241,32793,HI
12,Hawaii,115,"Sarasota County, Florida",392038,33.20315888,130169,HI
38,Oregon,51,"McIntosh County, North Dakota",2759,33.09169989,913,OR
51,Wyoming,133,"Northumberland County, Virginia",12304,33.07054616,4069,WY
35,North Dakota,3,"Catron County, New Mexico",3583,32.71001954,1172,ND
13,Idaho,281,"Towns County, Georgia",10800,31.82407407,3437,ID
29,Nevada,85,"Hickory County, Missouri",9335,31.494376,2940,NV
26,Missouri,131,"Ontonagon County, Michigan",6298,30.61289298,1928,MO
41,South Carolina,15,"Curry County, Oregon",22338,30.47721372,6808,SC
13,Idaho,291,"Union County, Georgia",21725,30.42577675,6610,ID
8,Delaware,53,"Hinsdale County, Colorado",874,30.09153318,263,DE
53,Wyoming,31,"Jefferson County, Washington",30083,30.06016687,9043,WY
46,Vermont,89,"McPherson County, South Dakota",2263,29.73928414,673,VT
48,Washington,311,"McMullen County, Texas",778,29.69151671,231,WA
26,Missouri,83,"Keweenaw County, Michigan",2198,29.6633303,652,MO
5,California,5,"Baxter County, Arkansas",41040,29.5662768,12134,CA
12,Hawaii,61,"Indian River County, Florida",142866,29.5080705,42157,HI
38,Oregon,39,"Griggs County, North Dakota",2329,29.45470159,686,OR
