state,NAME,population_size,percent_65plus,count_65plus,CODE
12,Florida,19645772,18.58410553,3650991,FL
23,Maine,1329100,17.61402453,234108,ME
54,West Virginia,1851420,17.24654589,319306,WV
72,Puerto Rico,3583073,16.64158112,596280,PA
50,Vermont,626604,16.32179175,102273,VT
42,Pennsylvania,12779559,16.31031243,2084386,PA
30,Montana,1014699,16.19012141,164281,MT
10,Delaware,926454,15.88940196,147208,DE
15,Hawaii,1406299,15.61901132,219650,HI
19,Iowa,3093526,15.50877542,479768,IA
41,Oregon,3939233,15.40596862,606877,OR
44,Rhode Island,1053661,15.40239223,162289,RI
4,Arizona,6641928,15.3581159,1020075,AZ
5,Arkansas,2958208,15.33573704,453663,AR
33,New Hampshire,1324201,15.25176314,201964,NH
45,South Carolina,4777576,15.21229594,726779,SC
39,Ohio,11575977,15.09402619,1747281,OH
9,Connecticut,3593222,15.09169208,542278,CT
26,Michigan,9900571,14.97757049,1482865,MI
29,Missouri,6045448,14.96334101,904601,MO
46,South Dakota,843190,14.8973541,125613,SD
1,Alabama,4830620,14.89096638,719326,AL
55,Wisconsin,5742117,14.77150326,848197,WI
35,New Mexico,2084117,14.70541241,306478,NM
25,Massachusetts,6705586,14.69547926,985418,MA
47,Tennessee,6499615,14.62125064,950325,TN
21,Kentucky,4397353,14.39445503,632975,KY
34,New Jersey,8904413,14.36616877,1279223,NJ
36,New York,19673174,14.33645125,2820435,NY
37,North Carolina,9845333,14.23204274,1401192,NC
38,North Dakota,721640,14.22315836,102640,ND
40,Oklahoma,3849733,14.21392081,547198,OK
31,Nebraska,1869365,14.12575928,264062,NE
20,Kansas,2892987,13.97500231,404295,KS
27,Minnesota,5419171,13.90487586,753529,MN
18,Indiana,6568645,13.90136017,913131,IN
28,Mississippi,2988081,13.88292352,414833,MS
16,Idaho,1616547,13.78332953,222814,ID
32,Nevada,2798636,13.60326959,380706,NV
53,Washington,6985464,13.57556205,948316,WA
17,Illinois,12873761,13.50023509,1737988,IL
56,Wyoming,579679,13.45572291,78000,WY
51,Virginia,8256630,13.34274395,1101661,VA
24,Maryland,5930538,13.34029054,791151,MD
22,Louisiana,4625253,13.2461727,612669,LA
6,California,38421464,12.48604166,4797320,CA
8,Colorado,5278906,12.21540978,644840,CO
13,Georgia,10006693,11.89670753,1190467,GA
11,District of Columbia,647484,11.32058862,73299,DE
48,Texas,26538614,11.18457806,2968232,TX
49,Utah,2903379,9.740202709,282795,UT
2,Alaska,733375,8.959400034,65706,AK
